N,doc_type,time_mean,time_min,time_max,benchmark_mean,benchmark_min,benchmark_max
10,flat_inner,0.307,0.3,0.31,0.09437,0.0922,0.097
20,flat_inner,0.356,0.32,0.62,0.1095,0.106,0.112
30,flat_inner,0.346,0.34,0.35,0.1262,0.124,0.128
50,flat_inner,0.376,0.36,0.38,0.1547,0.149,0.157
70,flat_inner,0.409,0.4,0.41,0.1847,0.184,0.186
100,flat_inner,0.452,0.45,0.46,0.2293,0.228,0.233
200,flat_inner,0.598,0.59,0.6,0.3747,0.371,0.378
500,flat_inner,1.042,1.04,1.05,0.816,0.811,0.822
750,flat_inner,1.397,1.37,1.41,1.172,1.15,1.18
1000,flat_inner,1.785,1.76,1.94,1.545,1.53,1.59
1250,flat_inner,2.103,2.05,2.16,1.874,1.83,1.9
1500,flat_inner,2.48,2.42,2.58,2.226,2.19,2.27
1750,flat_inner,2.835,2.75,2.92,2.584,2.53,2.63
2000,flat_inner,3.205,3.13,3.3,2.954,2.9,2.99
10,modular,0.329,0.32,0.33,0.1028,0.101,0.105
20,modular,0.356,0.35,0.36,0.1264,0.123,0.13
30,modular,0.375,0.37,0.38,0.1479,0.146,0.15
50,modular,0.418,0.41,0.43,0.193,0.19,0.197
70,modular,0.4659999999999999,0.45,0.48,0.2399,0.232,0.245
100,modular,0.541,0.53,0.55,0.3126,0.309,0.319
200,modular,0.805,0.8,0.82,0.5801999999999999,0.575,0.588
500,modular,1.775,1.75,1.82,1.549,1.53,1.6
750,modular,2.75,2.7,2.79,2.524,2.48,2.56
1000,modular,3.855,3.8,3.96,3.631,3.57,3.73
1250,modular,5.169,5.09,5.32,4.945,4.87,5.09
1500,modular,6.71,6.54,6.78,6.476,6.31,6.54
1750,modular,8.366,8.13,8.76,8.108,7.9,8.45
2000,modular,10.143,9.94,10.47,9.897,9.65,10.2
10,modular_inner,0.322,0.32,0.33,0.10048,0.0994,0.101
20,modular_inner,0.35,0.35,0.35,0.1272,0.126,0.128
30,modular_inner,0.384,0.38,0.39,0.1614,0.159,0.164
50,modular_inner,0.462,0.45,0.48,0.241,0.234,0.249
70,modular_inner,0.562,0.56,0.57,0.3422,0.34,0.346
100,modular_inner,0.764,0.75,0.77,0.5402,0.53,0.545
200,modular_inner,1.73,1.69,1.77,1.508,1.47,1.54
500,modular_inner,7.644,7.58,7.77,7.426,7.36,7.55
750,modular_inner,16.21,15.98,16.66,16.0,15.8,16.4
1000,modular_inner,28.426,27.96,29.23,28.0,27.7,28.3
1250,modular_inner,43.04,42.51,43.21,42.84,42.3,43.0
1500,modular_inner,61.284,60.88,61.56,61.08,60.7,61.3
1750,modular_inner,82.244,81.19,83.29,82.03999999999999,81.0,83.1
2000,modular_inner,106.23,105.23,107.4,105.8,105.0,107.0
10,macrodef,0.321,0.31,0.33,0.10007,0.0971,0.102
20,macrodef,0.341,0.33,0.35,0.116,0.113,0.118
30,macrodef,0.384,0.35,0.63,0.1297,0.124,0.132
50,macrodef,0.389,0.38,0.39,0.1609,0.156,0.165
70,macrodef,0.4619999999999999,0.41,0.86,0.1884,0.18,0.191
100,macrodef,0.497,0.45,0.84,0.2297,0.218,0.236
200,macrodef,0.614,0.6,0.62,0.3823,0.375,0.384
500,macrodef,1.069,1.03,1.19,0.8252999999999999,0.805,0.842
750,macrodef,1.424,1.41,1.44,1.193,1.18,1.2
1000,macrodef,1.794,1.73,1.98,1.5470000000000002,1.51,1.59
1250,macrodef,2.128,2.07,2.16,1.901,1.85,1.93
1500,macrodef,2.505,2.44,2.57,2.247,2.2,2.27
1750,macrodef,2.856,2.8,2.92,2.595,2.56,2.62
2000,macrodef,3.17,3.09,3.3,2.919,2.86,2.98
10,modular_inner_last,0.318,0.31,0.32,0.09886,0.0972,0.1
20,modular_inner_last,0.382,0.33,0.56,0.1224,0.12,0.125
30,modular_inner_last,0.376,0.37,0.38,0.1572,0.155,0.159
50,modular_inner_last,0.456,0.45,0.46,0.2374,0.235,0.239
70,modular_inner_last,0.556,0.54,0.57,0.3356,0.323,0.344
100,modular_inner_last,0.744,0.74,0.75,0.5252,0.521,0.528
200,modular_inner_last,1.714,1.68,1.74,1.492,1.46,1.51
500,modular_inner_last,7.696,7.52,7.84,7.48,7.31,7.62
750,modular_inner_last,16.38,15.89,16.66,16.14,15.7,16.4
1000,modular_inner_last,28.402,28.16,28.68,28.2,27.9,28.5
1250,modular_inner_last,43.332,42.85,43.67,43.12,42.6,43.5
1500,modular_inner_last,62.034,61.45,62.53,61.8,61.2,62.3
1750,modular_inner_last,83.294,82.64,84.17,83.04,82.4,83.9
2000,modular_inner_last,108.702,108.09,109.28,108.4,108.0,109.0
